iter	MultiClass
956	0.5407810967
957	0.5407461111
958	0.5406948876
959	0.5406516167
960	0.5406151576
961	0.5405888124
962	0.5405505223
963	0.5405274102
964	0.5404791201
965	0.5404503639
966	0.5404211156
967	0.540395236
968	0.5403393736
969	0.5402974537
970	0.5402708242
971	0.5402182623
972	0.5401864742
973	0.5401663161
974	0.5401435238
975	0.540117866
976	0.5400921666
977	0.5400683865
978	0.5400339558
979	0.5399955188
980	0.5399494068
981	0.5399080643
982	0.5398750212
983	0.5398220875
984	0.5397839645
985	0.5397566866
986	0.5397351209
987	0.5396948948
988	0.5396378029
989	0.5396112968
990	0.5395770232
991	0.5395322398
992	0.5394961959
993	0.5394460182
994	0.5394199623
995	0.5393883428
996	0.5393298401
997	0.5393010141
998	0.5392742469
999	0.5392519047
